번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9000,8692,6692,14000,16684,5308,14462,7269,2562
2,광주,7800,7700,7100,12000,12556,5400,14200,6800,2400
3,대구,8667,8667,6333,9583,13103,5000,13500,5833,2217
4,대전,8000,8500,6100,12600,15067,5200,12600,5800,2400
5,부산,8571,6900,6429,9429,14152,4929,13571,5786,2286
6,울산,8000,7900,6500,8600,14141,5300,13000,6900,2300
7,인천,8233,7167,6667,13833,15426,5250,13167,6833,2333
8,강원,8111,7500,7056,12000,12000,5000,13556,7278,2333
9,경기,8496,7327,6404,13615,14476,5423,13846,7115,2450
10,경남,8400,6900,6900,9000,14360,4900,14400,6150,2650
11,경북,8154,7262,6808,8692,13002,4923,12769,6385,2215
12,전남,7556,7278,6333,12333,14765,5333,13889,7111,2111
13,전북,7750,8400,7100,12400,13523,5200,13800,6900,2300
14,충남,8000,7750,6900,13000,14183,5200,13200,6700,2200
15,충북,7357,7329,7143,12143,11978,5143,12286,6357,2143
16,제주,8250,8250,7375,15000,15417,5750,12250,7625,2375
